Title,Genre,Language,Year,Actors,Director
Wild Things,Crime Drama Mystery,en,1998,Matt Dillon Kevin Bacon Denise Richards Neve Campbell Theresa Russell,John McNaughton
Krush Groove,Drama Music Romance,en,1985,Blair Underwood Joseph Simmons Darryl McDaniels Sheila E. Kurtis Blow,Michael Schultz
Stormbreaker,Adventure Action Family,en,2006,Alex Pettyfer Sarah Bolger Ewan McGregor Robbie Coltrane Stephen Fry,Geoffrey Sax
Red Dragon,Crime Thriller Horror,en,2002,Anthony Hopkins Edward Norton Ralph Fiennes Harvey Keitel Emily Watson,Brett Ratner
Spider-Man 2,Action Adventure Fantasy,en,2004,Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris,Sam Raimi
Pi,Mystery Drama Thriller,en,1998,Sean Gullette Mark Margolis Ben Shenkman Samia Shoaib Pamela Hart,Darren Aronofsky
Max,Adventure Drama Family,en,2015,Thomas Haden Church Josh Wiggins Lauren Graham Robbie Amell Mia Xitlali,Boaz Yakin
Lawrence of Arabia,Adventure Drama History War,en,1962,Peter O'Toole Alec Guinness Anthony Quinn Jack Hawkins Omar Sharif,David Lean
Charlie's Angels,Action Adventure Comedy Crime Thriller,en,2000,Cameron Diaz Lucy Liu Drew Barrymore Bill Murray John Forsythe,McG
Mr. & Mrs. Smith,Action Comedy Drama Thriller,en,2005,Angelina Jolie Brad Pitt Vince Vaughn Adam Brody Kerry Washington,Doug Liman
X-Men: Apocalypse,Science Fiction,en,2016,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac,Bryan Singer
Stolen,Action Crime Drama Thriller,en,2012,Nicolas Cage Malin \u00c5kerman Josh Lucas Sami Gayle Danny Huston,Simon West
Albert Nobbs,Drama,en,2011,Glenn Close Mia Wasikowska Aaron Taylor-Johnson Pauline Collins Brendan Gleeson,Rodrigo Garc\u00eda
Brazil,Comedy Science Fiction,en,1985,Jonathan Pryce Robert De Niro Katherine Helmond Ian Holm Bob Hoskins,Terry Gilliam
Inside Man,Crime Drama Thriller,en,2006,Denzel Washington Clive Owen Jodie Foster Christopher Plummer Willem Dafoe,Spike Lee
Public Enemies,History Crime Drama,en,2009,Christian Bale Johnny Depp Giovanni Ribisi Billy Crudup Marion Cotillard,Michael Mann
Spaced Invaders,Comedy Family Science Fiction,en,1990,Ariana Richards Douglas Barr Royal Dano William Holmes,Patrick Read Johnson
Titanic,Drama Romance Thriller,en,1997,Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates,James Cameron
My Girl,Comedy Drama Family,en,1991,Anna Chlumsky Macaulay Culkin Dan Aykroyd Jamie Lee Curtis Richard Masur,Howard Zieff
The Heart of Me,Drama Romance,en,2002,Helena Bonham Carter Olivia Williams Paul Bettany Eleanor Bron Tom Ward,Thaddeus O'Sullivan
Pale Rider,Romance Western,en,1985,Clint Eastwood Michael Moriarty Carrie Snodgress Chris Penn Richard Dysart,Clint Eastwood
Bandslam,Comedy Drama Family Music,en,2009,Vanessa Hudgens Aly Michalka Gaelan Connell Lisa Kudrow Scott Porter,Todd Graff
Chicago Overcoat,Action Crime Thriller,en,2009,Frank Vincent Kathrine Narducci Mike Starr Stacy Keach Armand Assante,Brian Caunter
Point Break,Action Crime Thriller,en,2015,Edgar Ram\u00edrez Luke Bracey Teresa Palmer Delroy Lindo Ray Winstone,Ericson Core
Kubo and the Two Strings,"Animation,Adventure,Family",NAN,2016,"Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes",Travis Knight
House of Wax,Horror,en,2005,Elisha Cuthbert Paris Hilton Brian Van Holt Jared Padalecki Chad Michael Murray,Jaume Collet-Serra
J. Edgar,Drama Crime History,en,2011,Leonardo DiCaprio Josh Hamilton Geoff Pierson Armie Hammer Naomi Watts,Clint Eastwood
Unnatural,Thriller Action Horror,en,2015,James Remar Sherilyn Fenn Ron Carlson Graham Greene Allegra Carpenter,Hank Braxtan
The Eclipse,Drama Horror Romance,en,2009,Ciar\u00e1n Hinds Aidan Quinn Iben Hjejle Jim Norton Valerie Spelman,Conor McPherson
Annihilation,"Adventure, Drama,  Horror",NAN,2018,"Natalie Portman, Jennifer Jason Leigh, Tessa Thompson, Benedict Wong",Alex Garland
Space Chimps,Animation Family,en,2008,Andy Samberg Cheryl Hines Jeff Daniels Patrick Warburton Kristin Chenoweth,Kirk De Micco
The Last Station,Drama Romance,en,2009,James McAvoy Christopher Plummer Helen Mirren Paul Giamatti Anne-Marie Duff,Michael Hoffman
Maid in Manhattan,Comedy Drama Romance,en,2002,Jennifer Lopez Ralph Fiennes Natasha Richardson Stanley Tucci Tyler Posey,Wayne Wang
Madagascar,Family Animation,en,2005,Ben Stiller Chris Rock David Schwimmer Jada Pinkett Smith Sacha Baron Cohen,Eric Darnell
City of Ember,Adventure Family Fantasy,en,2008,Saoirse Ronan Harry Treadaway Mary Kay Place Bill Murray Martin Landau,Gil Kenan
The Great Gatsby,Drama Romance,en,2013,Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki,Baz Luhrmann
A Nightmare on Elm Street 3: Dream Warriors,Horror Thriller,en,1987,Robert Englund Patricia Arquette Heather Langenkamp John Saxon Craig Wasson,Chuck Russell
Lara Croft: Tomb Raider,Adventure Fantasy Action Thriller,en,2001,Angelina Jolie Jon Voight Iain Glen Noah Taylor Daniel Craig,Simon West
Abduction,Thriller Action Mystery,en,2011,Taylor Lautner Lily Collins Alfred Molina Jason Isaacs Maria Bello,John Singleton
House at the End of the Street,Horror Thriller,en,2012,Jennifer Lawrence Max Thieriot Elisabeth Shue Gil Bellows Nolan Gerard Funk,Mark Tonderai
Ghost Town,Comedy Fantasy Romance,en,2008,Ricky Gervais Greg Kinnear T\u00e9a Leoni Billy Campbell Jordan Carlos,David Koepp
The Weather Man,Comedy Drama,en,2005,Nicolas Cage Michael Caine Hope Davis Gemmenne de la Pe\u00f1a Nicholas Hoult,Gore Verbinski
What to Expect When You're Expecting,Romance Comedy Drama,en,2012,Cameron Diaz Jennifer Lopez Elizabeth Banks Anna Kendrick Brooklyn Decker,Kirk Jones
Crank: High Voltage,Action Thriller Crime,en,2009,Jason Statham Amy Smart Dwight Yoakam Efren Ramirez Julanne Chidi Hill,Brian Taylor
High School Musical 2,Comedy Drama Family Music,en,2007,Zac Efron Vanessa Hudgens Ashley Tisdale Lucas Grabeel Corbin Bleu,Kenny Ortega
Shine a Light,Documentary Music,en,2008,Mick Jagger Keith Richards Charlie Watts Ronnie Wood Christina Aguilera,Martin Scorsese
The Visit,Horror Thriller,en,2015,Olivia DeJonge Ed Oxenbould Kathryn Hahn Benjamin Kanes Deanna Dunagan,M. Night Shyamalan
Seven Years in Tibet,Adventure Drama History,en,1997,Brad Pitt Jamyang Jamtsho Wangchuk David Thewlis BD Wong Mako,Jean-Jacques Annaud
Tinker Tailor Soldier Spy,Drama Thriller Mystery,en,2011,John Hurt Gary Oldman Kathy Burke Benedict Cumberbatch Colin Firth,Tomas Alfredson
R.L. Stine's Monsterville: The Cabinet of Souls,Comedy Horror,en,2015,Dove Cameron Katherine McNamara Ryan McCartan Laine MacNeil Briana Buckmaster,Peter DeLuise
Namastey London,Drama Foreign Romance,en,2007,Akshay Kumar Katrina Kaif Rishi Kapoor Clive Standen Upen Patel,Vipul Amrutlal Shah
Haywire,Action Thriller,en,2011,Gina Carano Ewan McGregor Michael Fassbender Bill Paxton Channing Tatum,Steven Soderbergh
Coherence,"Mystery,Sci-Fi,Thriller",NAN,2013,"Emily Baldoni, Maury Sterling, Nicholas Brendon, Elizabeth Gracen",James Ward Byrkit
The Green Mile,Fantasy Drama Crime,en,1999,Tom Hanks Michael Clarke Duncan David Morse Bonnie Hunt James Cromwell,Frank Darabont
Glitter,Drama Romance,en,2001,Mariah Carey Max Beesley Terrence Howard Valarie Pettiford Padma Lakshmi,Vondie Curtis-Hall
Flipped,Romance Drama,en,2010,Madeline Carroll Callan McAuliffe Rebecca De Mornay Anthony Edwards John Mahoney,Rob Reiner
The Caveman's Valentine,Drama Mystery Thriller,en,2001,Samuel L. Jackson Colm Feore Ann Magnuson Aunjanue Ellis Tamara Tunie,Kasi Lemmons
The Sea Inside,Drama,es,2004,Javier Bardem Bel\u00e9n Rueda Lola Due\u00f1as Joan Dalmau Josep Maria Pou,Alejandro Amen\u00e1bar
Madagascar 3: Europe's Most Wanted,Animation Family,en,2012,Ben Stiller Sacha Baron Cohen David Schwimmer Frances McDormand Chris Rock,Conrad Vernon
The Whole Nine Yards,Comedy Crime,en,2000,Bruce Willis Matthew Perry Rosanna Arquette Michael Clarke Duncan Kevin Pollak,Jonathan Lynn
The Prince of Tides,Drama Romance,en,1991,Nick Nolte Barbra Streisand Blythe Danner Kate Nelligan Jeroen Krabb\u00e9,Barbra Streisand
Vampire in Brooklyn,Comedy Horror Romance,en,1995,Eddie Murphy Angela Bassett Allen Payne Kadeem Hardison John Witherspoon,Wes Craven
The Night Visitor,Crime Horror,en,1971,Max von Sydow Trevor Howard Liv Ullmann Per Oscarsson Rupert Davies,L\u00e1szl\u00f3 Benedek
Easy Money,Drama Thriller Crime,sv,2010,Joel Kinnaman Matias Varela Dragomir Mrsic Lisa Henni Mahmut Suvakci,Daniel Espinosa
Modern Times,Drama Comedy,en,1936,Charlie Chaplin Paulette Goddard Henry Bergman Tiny Sandford Chester Conklin,Charlie Chaplin
American Splendor,Comedy Drama,en,2003,Paul Giamatti Hope Davis Judah Friedlander James Urbaniak Harvey Pekar,Shari Springer Berman
Dutch Kills,Thriller Crime Drama,en,2015,R.L. Mann Tama Filianga Mikaal Bates Celestine Rae Lodric D. Collins,Joseph Mazzella
Open Secret,Crime Mystery Thriller,en,1948,John Ireland Jane Randolph Sheldon Leonard Roman Bohnen George Tyne,John Reinhardt
Detention of the Dead,Comedy Horror,en,2012,Jacob Zachar Alexa Nikolas Christa Brittany  Allen Jayson Blair Justin Chon,Alex Craig Mann
Snow Angels,Drama Romance,en,2008,Kate Beckinsale Sam Rockwell Michael Angarano Olivia Thirlby Amy Sedaris,David Gordon Green
Gracie,Drama,en,2007,Jesse Lee Soffer Christopher Shand Carly Schroeder Karl Girolamo Vasilios Mantagas,Davis Guggenheim
We Are Your Friends,Drama Music Romance,en,2015,Zac Efron Emily Ratajkowski Wes Bentley Nick Rotteveel Alessandro Lindblad,Max Joseph
Murder by Numbers,Crime Drama Thriller,en,2002,Sandra Bullock Ben Chaplin Ryan Gosling Michael Pitt Agnes Bruckner,Barbet Schroeder
Thinner,Horror Thriller,en,1996,Robert John Burke Joe Mantegna Lucinda Jenney Michael Constantine Kari Wuhrer,Tom Holland
The Hunt for Red October,Action Adventure Thriller,en,1990,Alec Baldwin Sean Connery Scott Glenn Sam Neill James Earl Jones,John McTiernan
Paul,Adventure Comedy Science Fiction,en,2011,Seth Rogen Simon Pegg Nick Frost Jason Bateman Kristen Wiig,Greg Mottola
Hit & Run,Action Comedy Romance,en,2012,Kristen Bell Dax Shepard Tom Arnold Kristin Chenoweth Michael Rosenbaum,Dax Shepard
The Secret of Kells,Animation Family Fantasy,en,2009,Evan McGuire Christen Mooney Brendan Gleeson Mick Lally Liam Hourican,Tomm Moore
Michael Clayton,Drama Mystery Crime,en,2007,George Clooney Tom Wilkinson Tilda Swinton Sydney Pollack Michael O'Keefe,Tony Gilroy
Fever Pitch,Comedy Drama Romance,en,2005,Drew Barrymore Jimmy Fallon Jason Spevack Jack Kehler Maureen Keiller,Bobby Farrelly
Henry & Me,Family Animation,en,2014,Richard Gere Luis Guzm\u00e1n Chazz Palminteri Cyndi Lauper Lucie Arnaz,Barrett Esposito
The Land Girls,Drama Romance War,en,1998,Catherine McCormack Rachel Weisz Anna Friel Paul Bettany Steven Mackintosh,David Leland
Morning Glory,Comedy Drama Romance,en,2010,Rachel McAdams Harrison Ford Patrick Wilson Jeff Goldblum Diane Keaton,Roger Michell
Casino Royale,Adventure Action Thriller,en,2006,Daniel Craig Eva Green Mads Mikkelsen Judi Dench Jeffrey Wright,Martin Campbell
The Skeleton Key,Drama Horror Mystery Thriller,en,2005,Kate Hudson Gena Rowlands Peter Sarsgaard John Hurt Joy Bryant,Iain Softley
Lilo & Stitch,Animation Family,en,2002,Chris Sanders Daveigh Chase Tia Carrere David Ogden Stiers Kevin McDonald,Chris Sanders
Star Trek Into Darkness,Action Adventure Science Fiction,en,2013,Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg,J.J. Abrams
Mars Needs Moms,Adventure Animation Family,en,2011,Seth Green Joan Cusack Dan Fogler Breckin Meyer Elisabeth Harnois,Simon Wells
Teenage Mutant Ninja Turtles: Out of the Shadows,Fantasy Action Adventure Comedy,en,2016,Megan Fox Stephen Amell Will Arnett Laura Linney Pete Ploszek,Dave Green
Secondhand Lions,Comedy Drama Family,en,2003,Michael Caine Robert Duvall Haley Joel Osment Josh Lucas Kyra Sedgwick,Tim McCanlies
Legends of the Fall,Adventure Drama Romance War,en,1994,Brad Pitt Anthony Hopkins Aidan Quinn Julia Ormond Henry Thomas,Edward Zwick
Harry Potter and the Half-Blood Prince,Adventure Fantasy Family,en,2009,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon,David Yates
Oceans,Documentary Family,en,2009,Pierce Brosnan Jacques Perrin Rie Miyazawa Aldo Baglio Matthias Brandt,Jacques Perrin
The One,Action Science Fiction Thriller,en,2001,Jet Li Jason Statham Carla Gugino Delroy Lindo James Morrison,James Wong
Love Actually,Comedy Romance Drama,en,2003,Keira Knightley Heike Makatsch Emma Thompson Laura Linney Hugh Grant,Richard Curtis
Mirrors,Horror Mystery Thriller,en,2008,Kiefer Sutherland Paula Patton Amy Smart Cameron Boyce Erica Gluck,Alexandre Aja
Snow Dogs,Adventure Comedy Family,en,2002,Jim Belushi Cuba Gooding Jr. James Coburn M. Emmet Walsh Sisq\u00f3,Brian Levant
Final Destination 5,Horror Mystery,en,2011,Emma Bell Nicholas D'Agosto Miles Fisher Ellen Wroe Jacqueline MacInnes Wood,Steven Quale
Patriot Games,Drama Action Thriller Crime,en,1992,Harrison Ford Anne Archer Patrick Bergin Thora Birch James Fox,Phillip Noyce
Taken 2,Action Crime Thriller,en,2012,Liam Neeson Maggie Grace Famke Janssen Rade Serbedzija Luke Grimes,Olivier Megaton
Exodus: Gods and Kings,Adventure Drama Action,en,2014,Christian Bale Joel Edgerton John Turturro Aaron Paul Ben Mendelsohn,Ridley Scott
Deep Impact,Action Drama Romance,en,1998,Robert Duvall T\u00e9a Leoni Elijah Wood Vanessa Redgrave Morgan Freeman,Mimi Leder
The Mummy Returns,Adventure Action Fantasy,en,2001,Brendan Fraser Rachel Weisz John Hannah Arnold Vosloo Oded Fehr,Stephen Sommers
The Impossible,Thriller Drama,en,2012,Naomi Watts Ewan McGregor Tom Holland Samuel Joslin Oaklee Pendergast,Juan Antonio Bayona
From Hell,Horror Mystery Thriller,en,2001,Johnny Depp Heather Graham Ian Holm Robbie Coltrane Ian Richardson,Albert Hughes
Anna Karenina,Drama Romance,en,2012,Keira Knightley Jude Law Aaron Taylor-Johnson Kelly Macdonald Matthew Macfadyen,Joe Wright
Batman Returns,Action Fantasy,en,1992,Michael Keaton Danny DeVito Michelle Pfeiffer Christopher Walken Michael Gough,Tim Burton
London Has Fallen,Action Crime Thriller,en,2016,Gerard Butler Aaron Eckhart Morgan Freeman Angela Bassett Melissa Leo,Babak Najafi
"I, Robot",Action Science Fiction,en,2004,Will Smith Bridget Moynahan Alan Tudyk James Cromwell Bruce Greenwood,Alex Proyas
Unknown,Action Mystery Thriller,en,2011,Liam Neeson Diane Kruger January Jones Aidan Quinn Bruno Ganz,Jaume Collet-Serra
A History of Violence,Drama Thriller Crime,en,2005,Viggo Mortensen Maria Bello Heidi Hayes Ashton Holmes William Hurt,David Cronenberg
Muppets Most Wanted,Comedy Adventure Crime Family,en,2014,Ricky Gervais Ty Burrell Tina Fey Steve Whitmire Eric Jacobson,James Bobin
Hansel & Gretel: Witch Hunters,Fantasy Horror Action,en,2013,Jeremy Renner Gemma Arterton Famke Janssen Pihla Viitala Derek Mears,Tommy Wirkola
Mr. 3000,Comedy Drama,en,2004,Bernie Mac Angela Bassett Michael Rispoli Brian J. White Dondre Whitfield,Charles Stone III
Batman Forever,Action Crime Fantasy,en,1995,Val Kilmer Tommy Lee Jones Jim Carrey Nicole Kidman Chris O'Donnell,Joel Schumacher
The Number 23,Thriller Drama Mystery,en,2007,Jim Carrey Virginia Madsen Logan Lerman Danny Huston Lynn Collins,Joel Schumacher
Hoodwinked Too! Hood VS. Evil,Comedy Animation Family,en,2011,Hayden Panettiere Bill Hader Joan Cusack Patrick Warburton Glenn Close,Mike Disa
Sucker Punch,Action Fantasy Thriller,en,2011,Emily Browning Abbie Cornish Jena Malone Vanessa Hudgens Jamie Chung,Zack Snyder
How Do You Know,Comedy Drama Romance,en,2010,Reese Witherspoon Paul Rudd Owen Wilson Jack Nicholson Kathryn Hahn,James L. Brooks
Pan,Adventure Family Fantasy,en,2015,Levi Miller Garrett Hedlund Hugh Jackman Rooney Mara Amanda Seyfried,Joe Wright
Panic Room,Crime Drama Thriller,en,2002,Jodie Foster Kristen Stewart Forest Whitaker Dwight Yoakam Jared Leto,David Fincher
JFK,Drama Thriller History,en,1991,Kevin Costner Tommy Lee Jones Gary Oldman Kevin Bacon Michael Rooker,Oliver Stone
The Rainmaker,Drama Crime Thriller,en,1997,Matt Damon Danny DeVito Jon Voight Claire Danes Mary Kay Place,Francis Ford Coppola
Midnight Run,Adventure Comedy Crime,en,1988,Robert De Niro Charles Grodin Yaphet Kotto John Ashton Dennis Farina,Martin Brest
The Kid,Fantasy Comedy Family,en,2000,Bruce Willis Spencer Breslin Emily Mortimer Lily Tomlin Chi McBride,Jon Turteltaub
Something's Gotta Give,Drama Comedy Romance,en,2003,Jack Nicholson Diane Keaton Keanu Reeves Frances McDormand Amanda Peet,Nancy Meyers
Sphere,Science Fiction,en,1998,Dustin Hoffman Sharon Stone Samuel L. Jackson Peter Coyote Liev Schreiber,Barry Levinson
Annie,Comedy Drama Family,en,2014,Quvenzhan\u00e9 Wallis Jamie Foxx Rose Byrne Cameron Diaz Bobby Cannavale,Will Gluck
Ghostbusters,Action Fantasy Comedy,en,2016,Melissa McCarthy Kristen Wiig Kate McKinnon Leslie Jones Chris Hemsworth,Paul Feig
Where the Wild Things Are,Family Fantasy,en,2009,Max Records Catherine Keener Lauren Ambrose James Gandolfini Catherine O'Hara,Spike Jonze
Deck the Halls,Comedy Family,en,2006,Danny DeVito Matthew Broderick Kristin Davis Kristin Chenoweth Fred Armisen,John Whitesell
Wolves,Horror Action,en,2014,Jason Momoa Lucas Till John Pyper-Ferguson Stephen McHattie Merritt Patterson,David Hayter
Standing Ovation,Comedy Music Family,en,2010,Kayla Jackson Kayla Raparelli Sal Dupree Al Sapienza Alexis Biesiada,Stewart Raffill
Shortbus,Romance Drama Comedy,en,2006,Sook-Yin Lee Paul Dawson PJ DeBoy Jay Brannan Lindsay Beamish,John Cameron Mitchell
Personal Shopper,"Drama,Mystery,Thriller",NAN,2016,"Kristen Stewart, Lars Eidinger, Sigrid Bouaziz,Anders Danielsen Lie",Olivier Assayas
Richard III,Drama War,en,1995,Ian McKellen Annette Bening Jim Broadbent Kristin Scott Thomas Adrian Dunbar,Richard Loncraine
The Oxford Murders,Crime Mystery Thriller,en,2008,Elijah Wood John Hurt Leonor Watling Julie Cox Jim Carter,\u00c1lex de la Iglesia
The Good Guy,Comedy Romance,en,2009,Alexis Bledel Colin Egglesfield Anna Chlumsky Andrew McCarthy Scott Porter,Julio DePietro
The Debt,Drama Thriller,en,2010,Helen Mirren Ciar\u00e1n Hinds Tom Wilkinson Jessica Chastain Sam Worthington,John Madden
Winnie Mandela,Drama,en,2011,Elias Koteas Terrence Howard Jennifer Hudson Wendy Crewson Angelique Pretorius,Darrell James Roodt
Viking,"Action,Drama,History",NAN,2016,"Anton Adasinsky, Aleksandr Armer, Vilen Babichev, Rostislav Bershauer",Andrey Kravchuk
The Maid's Room,Thriller,en,2014,Paula Garc\u00e9s Annabella Sciorra Bill Camp Philip Ettinger Julio C. Pe\u00f1a,Michael Walker
Godzilla,"Action,Adventure,Sci-Fi",NAN,2014,"Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston, Ken Watanabe",Gareth Edwards
Krrish,Action Science Fiction,hi,2006,Hrithik Roshan Naseeruddin Shah Priyanka Chopra Rekha Sharat Saxena,Rakesh Roshan
Georgia Rule,Comedy Drama Romance,en,2007,Jane Fonda Lindsay Lohan Felicity Huffman Dermot Mulroney Cary Elwes,Garry Marshall
Loser,Drama Comedy Romance Family,en,2000,Jason Biggs Mena Suvari Zak Orth Thomas Sadoski Jimmi Simpson,Amy Heckerling
Desert Blue,Comedy Drama,en,1999,Casey Affleck Kate Hudson Brendan Sexton III Christina Ricci Ethan Suplee,Morgan J. Freeman
Undisputed,Action Adventure Drama Thriller,en,2002,Wesley Snipes Ving Rhames Peter Falk Michael Rooker Jon Seda,Walter Hill
Triple 9,Action Thriller,en,2016,Casey Affleck Chiwetel Ejiofor Woody Harrelson Kate Winslet Anthony Mackie,John Hillcoat
Malone,Action Thriller,en,1987,Burt Reynolds Cliff Robertson Kenneth McMillan Cynthia Gibb Scott Wilson,Harley Cokeliss
Mercy Streets,Action Adventure Drama,en,2000,Eric Roberts David A.R. White Cynthia Watros Lawrence Taylor Stacy Keach,Jon Gunn
The Wave,Drama Thriller,de,2008,J\u00fcrgen Vogel Frederick Lau Max Riemelt Jennifer Ulrich Christiane Paul,Dennis Gansel
Welcome to the Dollhouse,Comedy Drama,en,1995,Heather Matarazzo Victoria Davis Christina Brucato Christina Vidal Siri Howard,Todd Solondz
And Then Came Love,Comedy Romance,en,2007,Kevin Daniels Michael Boatman Jeremy Gumbs Eartha Kitt Vanessa Williams,Richard Schenkman
My Big Fat Greek Wedding,Comedy Drama Romance,en,2002,Nia Vardalos John Corbett Lainie Kazan Michael Constantine Andrea Martin,Joel Zwick
Scream 2,Horror Mystery,en,1997,David Arquette Neve Campbell Courteney Cox Sarah Michelle Gellar Jamie Kennedy,Wes Craven
Brooklyn Rules,Drama Action Thriller,en,2007,Alec Baldwin Paulo Araujo Daniel Tay Ty Thomas Reed Brian O'Neill,Michael Corrente
Return to Me,Romance Comedy Drama,en,2000,David Duchovny Minnie Driver Carroll O'Connor Robert Loggia Jim Belushi,Bonnie Hunt
I Don't Know How She Does It,Romance Comedy,en,2011,Sarah Jessica Parker Pierce Brosnan Sarah Shahi Busy Philipps Olivia Munn,Douglas McGrath
Made in Dagenham,Comedy Drama History,en,2010,Sally Hawkins Bob Hoskins Miranda Richardson Geraldine James Simon Nehan,Nigel Cole
Kill List,Horror Thriller Crime,en,2011,Neil Maskell MyAnna Buring Harry Simpson Michael Smiley Struan Rodger,Ben Wheatley
Rosemary's Baby,Horror Drama Mystery,en,1968,Mia Farrow John Cassavetes Ruth Gordon Sidney Blackmer Maurice Evans,Roman Polanski
Boom Town,Adventure Drama Romance,en,1940,Clark Gable Spencer Tracy Claudette Colbert Hedy Lamarr Frank Morgan,Jack Conway
Underworld,Fantasy Action Thriller,en,2003,Kate Beckinsale Scott Speedman Michael Sheen Shane Brolly Bill Nighy,Len Wiseman
Two Evil Eyes,Horror Thriller,en,1990,Adrienne Barbeau Harvey Keitel Ramy Zada E.G. Marshall Madeleine Potter,George A. Romero
Force 10 from Navarone,Action Adventure War Thriller,en,1978,Harrison Ford Robert Shaw Barbara Bach Edward Fox Franco Nero,Guy Hamilton
It's a Wonderful Life,Drama Family Fantasy,en,1946,James Stewart Donna Reed Lionel Barrymore Thomas Mitchell Henry Travers,Frank Capra
Hamlet 2,Comedy Music,en,2008,Steve Coogan Catherine Keener Joseph Julian Soria Melonie Diaz Arnie Pantoja,Andrew Fleming
Moonlight Mile,Romance Drama,en,2002,Jake Gyllenhaal Dustin Hoffman Susan Sarandon Aleksia Landeau Ellen Pompeo,Brad Silberling
Feast,Action Comedy Horror,en,2005,Balthazar Getty Henry Rollins Navi Rawat Judah Friedlander Jason Mewes,John Gulager
Good Kill,Action Drama Thriller,en,2015,Ethan Hawke January Jones Zo\u00eb Kravitz Jake Abel Bruce Greenwood,Andrew Niccol
The Straight Story,Drama,en,1999,Richard Farnsworth Sissy Spacek Jane Galloway Heitz Joseph A. Carpenter Donald Wiegert,David Lynch
By the Sea,Drama Romance,en,2015,Angelina Jolie Brad Pitt M\u00e9lanie Laurent Melvil Poupaud Niels Arestrup,Angelina Jolie
Where the Heart Is,Comedy Drama Romance,en,2000,Natalie Portman Ashley Judd Stockard Channing Joan Cusack Sally Field,Matt Williams
WarGames,Thriller Science Fiction,en,1983,Matthew Broderick Dabney Coleman Ally Sheedy John Wood Barry Corbin,John Badham
American Pie,Comedy Romance,en,1999,Jason Biggs Chris Klein Thomas Ian Nicholas Alyson Hannigan Shannon Elizabeth,Chris Weitz
Duets,Comedy Drama Music,en,2000,Gwyneth Paltrow Scott Speedman Maria Bello Paul Giamatti Andre Braugher,Bruce Paltrow
Horse Camp,Family Drama,en,2015,Jordan Trovillion Dean Cain Sherryl Despres Dana Blackstone Annelyse Ahmad,Joel Paul Reisig
Wasabi,Drama Action Comedy,fr,2001,Jean Reno Ryoko Hirosue Michel Muller Carole Bouquet Yoshi Oida,G\u00e9rard Krawczyk
Antwone Fisher,Drama Romance,en,2002,Derek Luke Malcolm David Kelley Cory Hodges Denzel Washington Joy Bryant,Denzel Washington
The Call,Crime Thriller,en,2013,Halle Berry Abigail Breslin Morris Chestnut Michael Imperioli Ella Rae Peck,Brad Anderson
Chloe,Drama Thriller Mystery,en,2009,Julianne Moore Liam Neeson Amanda Seyfried Max Thieriot R. H. Thomson,Atom Egoyan
Trust,Crime Drama Thriller,en,2010,Clive Owen Catherine Keener Liana Liberato Jason Clarke Viola Davis,David Schwimmer
Dying of the Light,Thriller Drama,en,2014,Nicolas Cage Anton Yelchin Alexander Karim Ir\u00e8ne Jacob Aymen Hamdouchi,Paul Schrader
A Most Wanted Man,Thriller,en,2014,Philip Seymour Hoffman Rachel McAdams Robin Wright Daniel Br\u00fchl Willem Dafoe,Anton Corbijn
The Front Page,Romance Drama Comedy,en,1974,Jack Lemmon Walter Matthau Susan Sarandon Vincent Gardenia David Wayne,Billy Wilder
The Walking Deceased,Science Fiction Comedy,en,2015,Tim Ogletree Troy Ogletree Dave Sheridan Joey Oglesby Sophia Taylor Ali,Scott Dow
A Mighty Heart,Drama Thriller,en,2007,Angelina Jolie Dan Futterman Irrfan Khan Archie Panjabi Denis O'Hare,Michael Winterbottom
The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,Comedy,en,2010,Bryan Callen Noureen DeWulf Mircea Monroe Stephen Kramer Glickman Austin Michael Scott,Craig Moss
The Last Exorcism,Horror Drama Thriller,en,2010,Ashley Bell Patrick Fabian Iris Bahr Louis Herthum Caleb Landry Jones,Daniel Stamm
"New York, New York",Drama Music Romance,en,1977,Liza Minnelli Robert De Niro Lionel Stander Barry Primus Dick Miller,Martin Scorsese
Exorcist II: The Heretic,Horror Thriller Fantasy,en,1977,Linda Blair Richard Burton Louise Fletcher Max von Sydow Kitty Winn,John Boorman
The Women,Comedy Drama Romance,en,2008,Cloris Leachman India Ennenga Annette Bening Eva Mendes Debra Messing,Diane English
Love and Other Catastrophes,Comedy Romance,it,1996,Matt Day Matthew Dyktynski Alice Garner Frances O'Connor Radha Mitchell,Emma-Kate Croghan
North by Northwest,"Action, Adventure,  Mystery",NAN,1959,"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis",Alfred Hitchcock
